"Ref Name","Package","Value","Height","Manufacturer","Manufacturer Part Number","Alternative Part Number","Supplier","Substitute Allowed ?","Substitution Notes"
"C101","0805","2.2uF","1.35mm","Samsung","CL21B225KOFNNNE",,"Digikey",,
"C102","0805","2.2uF","1.35mm","Samsung","CL21B225KOFNNNE",,"Digikey",,
"C103","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C104","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C105","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C106","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C107","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C108","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C109","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C110","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C111","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C112","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C113","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C114","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C201","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C202","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C203","0805","15pF","1.35mm","Stackpole","CML0805C0G150JT50V",,"Digikey",,
"C204","0805","15pF","1.35mm","Stackpole","CML0805C0G150JT50V",,"Digikey",,
"C205","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C206","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C207","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C208","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C209","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C210","1206","10uF","1.8mm","Samsung","CL31B106KOHNNWE",,"Digikey",,
"C211","1206","DNP","0.1mm",,,,,,
"C212","1206","DNP","0.1mm",,,,,,
"C213","0805","2.2uF","1.35mm","Samsung","CL21B225KPFNNNE",,"Digikey",,
"C214","0805","33nF","1.45mm","TDK","C2012C0G2A333J125AC",,"Digikey",,
"C215","0805","33nF","1.45mm","TDK","C2012C0G2A333J125AC",,"Digikey",,
"D101","SOT23-2mm centres pins 1-3",,"1.5mm","ON Semi","BZX84C5V1LT3G",,"Digikey",,
"D201","SC-90A",,"1mm","Nexperia","RB751V40,115",,"Digikey",,
"D202","SC-90A",,"1mm","Nexperia","RB751V40,115",,"Digikey",,
"D203","SC-90A",,"1mm","Nexperia","RB751V40,115",,"Digikey",,
"FB101","0805",,"1.1mm","TDK","MPZ2012S101AT000",,"Digikey",,
"JMP101","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP102","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP103","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP104","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP105","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP106","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP107","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP108","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
"JMP109","1206","0","1mm","Bourns","CR1206-J/-000ELF",,"Digikey",,
